,budget,popularity,revenue,runtime,market_share_genres,promedio_revenue_month,promedio_revenue_cast,promedio_revenue_crew,promedio_revenue_production_companies
30,51122341.22247376,19.485,823776509.7515044,120.0,0.2505232796514554,182565449.76427466,259039468.33908033,618030183.729222,254117904.15124986
31,14200650.339576043,9.194,84023089.56041984,82.0,0.0221503885110652,106972830.34683679,86361874.5959712,78539959.89822832,60133983.35951218
32,710032.5169788023,10.599,49702.27618851616,88.0,0.0221503885110652,63076230.05666705,30867415.133814067,49702.27618851616,173882999.32423982
33,15620715.37353365,10.614,23088794.78516567,116.0,0.0060831306249185,182565449.76427466,337124131.77650523,116447068.15817623,34726959.07194073
34,461521.1360362215,1.738,35501625.84894011,87.0,0.2517725012251774,75051078.40614595,35501625.84894011,35501625.84894011,35501625.84894011
35,106504.87754682034,0.6,142006.50339576046,128.0,0.2517725012251774,92037411.31436121,142006.50339576046,142006.50339576046,142006.50339576046
36,48992243.67153736,4.336,46365123.35871579,115.0,0.2517725012251774,185691009.3341934,36499536.036317356,33305936.526943386,34726959.07194073
37,9230422.72072443,9.385,206853773.1714345,119.0,0.2517725012251774,87242419.5314648,206853773.1714345,110591835.36583792,206853773.1714345
38,5147735.748096316,10.843,75263446.79975304,102.0,0.2517725012251774,201237486.86604062,159200960.7812402,147293372.07753006,228308166.46423396
39,63902926.528092206,13.553,591487831.0513275,181.0,0.2517725012251774,201237486.86604062,591487831.0513275,245892532.00574106,254117904.15124986
40,21300975.50936407,44.82,28401300.67915209,100.0,0.0074827994945787,232559979.0270753,181577688.22736284,28401300.67915209,28401300.67915209
41,7100325.169788023,9.431,8554038.644725252,112.0,0.0022537050950748,92037411.31436121,74624668.05220166,6002473.486431077,8554038.644725252
42,17750812.924470056,9.701,88843791.4315209,114.0,0.0234073884548619,232559979.0270753,166730394.56931993,277132687.4242823,88843791.4315209
43,5516952.656925294,9.863,17303492.438773412,86.0,0.0774517693726667,118736550.8626721,173375368.32561326,1414453692.7776492,105527796.18404703
44,46152113.60362215,10.983,87877621.78436716,131.0,0.0774517693726667,118736550.8626721,87877621.78436716,319261277.30623806,228308166.46423396
45,15620715.37353365,40.84,188790545.9394937,137.0,0.0774517693726667,182565449.76427466,140820028.4122546,148630036.06890434,304200174.6119193
46,3437672.379434037,2.806,34376723.79434038,87.0,0.2630798716056715,75051078.40614595,34376723.79434038,34376723.79434038,34376723.79434038
47,893794.8186528498,16.636,185634308.48943803,100.0,0.2630798716056715,232559979.0270753,162378442.7048992,185634308.48943803,77156820.45403583
48,13599431.933041053,5.66,68753447.58868076,104.0,0.2630798716056715,232559979.0270753,54753962.234122016,77410438.48631816,54753962.234122016
49,11688086.090075728,15.143,66690844.16102033,88.0,0.2630798716056715,232559979.0270753,70547875.53770092,28105481.815874767,98355794.20383984
50,23047901.96929454,11.719,252563170.2106656,123.0,0.2630798716056715,63076230.05666705,424616487.6349017,116447068.15817623,252563170.2106656
51,34376723.79434038,17.005,581400590.1348426,117.0,0.2630798716056715,182565449.76427466,149509001.58499005,581400590.1348426,581400590.1348426
52,2543877.560781188,8.523,254669.6452132324,95.0,5.632872252048984e-05,182565449.76427466,254669.6452132324,8227032.710692726,254669.6452132324
53,5844043.045037864,11.049,171883618.9717019,78.0,0.0380178197946126,106972830.34683679,171883618.9717019,64949169.29720492,171883618.9717019
54,27501379.0354723,10.683,453772754.08529294,94.0,0.1370446948453844,118736550.8626721,255248880.65600106,110591835.36583792,453772754.08529294
55,82504.1371064169,11.465,41252068.55320845,92.0,0.1370446948453844,118736550.8626721,41252068.55320845,18748597.53404338,41252068.55320845
56,1031301.7138302112,4.804,704262.1896851335,87.0,0.1370446948453844,232559979.0270753,704262.1896851335,704262.1896851335,704262.1896851335
57,13750689.51773615,13.129,123868205.02574731,88.0,0.1370446948453844,91910688.15824017,86361874.5959712,78539959.89822832,254117904.15124986
58,2818891.351135911,3.248,687.5344758868075,101.0,0.0191611332477639,92037411.31436121,687.5344758868075,5617460.2597749755,687.5344758868075
59,24063706.656038266,11.823,86629343.96173775,116.0,0.0191611332477639,106972830.34683679,86629343.96173775,63270287.151464865,228308166.46423396
60,41252068.55320845,82.465,1684916064.4434595,175.0,0.497779124426404,118736550.8626721,656964014.7268993,262359849.93663368,256678100.51166594
61,13750689.51773615,11.104,317107091.71590275,109.0,0.497779124426404,91910688.15824017,115120289.9858135,123852599.89968638,304200174.6119193
62,8594180.948585095,20.692,248502460.9645277,129.0,0.497779124426404,87242419.5314648,656964014.7268993,79532515.96733096,254117904.15124986
63,1100055.161418892,5.642,151257584.69509766,87.0,0.0334556814192591,91910688.15824017,151257584.69509766,151257584.69509766,151257584.69509766
64,41252068.55320845,9.646,51565085.691510566,131.0,0.0114053459383837,75051078.40614595,47997919.53603217,111091657.07003105,51565085.691510566
65,4921239.63963964,9.499,6345809.00900901,82.0,0.0290699494289876,118736550.8626721,14783541.474461066,12660180.73164599,96381379.01896885
66,11008036.036036037,21.63,57271541.46126127,93.0,0.0290699494289876,232559979.0270753,70547875.53770092,28105481.815874767,57271541.46126127
67,6475315.315315316,5.894,12950630.630630633,107.0,0.0290699494289876,185691009.3341934,12950630.630630633,78255131.23207574,41200171.30788268
68,64753153.15315316,19.77,139122576.9203604,102.0,0.0290699494289876,91910688.15824017,162378442.7048992,77219651.98226263,139122576.9203604
69,13870125.405405408,6.424,9441009.72972973,112.0,0.1424588949589886,232559979.0270753,54753962.234122016,181348475.89809093,54753962.234122016
70,45327207.20720721,22.126,1047562499.1293696,121.0,0.1424588949589886,185691009.3341934,699354970.817857,618030183.729222,254117904.15124986
71,6151549.549549551,5.198,9712972.972972974,76.0,0.0292853415321606,91910688.15824017,9712972.972972974,64949169.29720492,9712972.972972974
72,32376576.57657658,38.403,207575731.72000003,83.0,0.0292853415321606,201237486.86604062,207575731.72000003,319226770.3534842,188892286.61772963
73,16188288.28828829,9.334,200087243.24324328,102.0,0.3139264073257227,203966349.12633517,200087243.24324328,110591835.36583792,200087243.24324328
74,4532720.720720721,9.032,5504018.018018018,116.0,0.3139264073257227,203966349.12633517,31168601.69859686,5504018.018018018,5504018.018018018
75,5031320.000000001,16.984,906544144.1441444,110.0,0.3139264073257227,91910688.15824017,423837985.6227049,1414453692.7776492,228308166.46423396
76,14893225.225225229,7.926,64753153.15315316,104.0,0.3139264073257227,182565449.76427466,216980278.74943033,34088241.57523544,173882999.32423982
77,12950630.630630633,10.533,118787904.64900902,87.0,0.3139264073257227,182565449.76427466,86361874.5959712,78539959.89822832,118787904.64900902
78,35614234.23423424,15.203,1033566046.7974776,129.0,0.3139264073257227,182565449.76427466,336170197.6905239,394724289.17643267,228308166.46423396
79,11008036.036036037,11.068,6209827.387387388,112.0,0.0733310246153545,118736550.8626721,36499536.036317356,88265509.75402533,32227956.791761804
80,19425945.94594595,19.378,192964396.39639643,130.0,0.0733310246153545,182565449.76427466,166375475.7351277,100456924.26881433,256678100.51166594
81,77703783.7837838,15.708,344920620.90090096,151.0,0.0733310246153545,182565449.76427466,424616487.6349017,254520568.20740986,344920620.90090096
82,3237657.657657658,12.848,19425945.94594595,112.0,0.0026181547835915,87242419.5314648,111628952.30330655,153608274.20174003,19425945.94594595
83,3237657.657657658,8.072,6475315.315315316,93.0,0.3860086497812294,118736550.8626721,6475315.315315316,131109241.65721104,6475315.315315316
84,71228468.46846847,79.394,2857596439.4612617,122.0,0.3860086497812294,203966349.12633517,1434967457.8561592,424590298.4584568,2857596439.4612617
85,35614234.23423424,16.084,101662450.45045048,105.0,0.0233015775739648,106972830.34683679,159200960.7812402,147293372.07753006,144639493.3894662
86,30037582.60432433,10.047,71228468.46846847,106.0,0.0233015775739648,203966349.12633517,71228468.46846847,116447068.15817623,62094703.41011527
87,40815169.84958594,13.788,464515424.7918608,123.0,0.3221850593254622,75051078.40614595,369280068.3195404,464515424.7918608,228308166.46423396
88,17492215.649822544,14.075,128276248.09869868,93.0,0.3221850593254622,185691009.3341934,49305192.649372295,101807544.81549144,256678100.51166594
89,5830738.549940849,13.566,233229541.997634,105.0,0.3221850593254622,185691009.3341934,233229541.997634,233229541.997634,233229541.997634
90,17492215.649822544,10.578,274044711.8472199,107.0,0.3221850593254622,87242419.5314648,369280068.3195404,157704618.09877837,228308166.46423396
91,81630339.69917189,12.852,676365671.7931384,165.0,0.3221850593254622,182565449.76427466,424616487.6349017,181348475.89809093,676365671.7931384
92,5714123.778942032,5.364,26821397.329727903,115.0,0.1080469147419331,91910688.15824017,26821397.329727903,74858313.74569637,230629948.2552576
93,40815169.84958594,22.281,568916821.7948285,125.0,0.1080469147419331,182565449.76427466,699354970.817857,618030183.729222,254117904.15124986
94,16326067.939834377,17.362,503037248.554984,106.0,0.0912340705394179,182565449.76427466,181577688.22736284,227228628.92713383,382443084.09450203
95,17492215.649822544,10.847,74633453.43924287,110.0,0.1218537172160873,106972830.34683679,131989659.39630918,744432167.5092729,228308166.46423396
96,9329181.67990536,16.161,25771864.39073855,113.0,0.1218537172160873,106972830.34683679,149509001.58499005,262359849.93663368,256678100.51166594
97,23322954.199763395,11.029,145768463.7485212,115.0,0.1218537172160873,203966349.12633517,159200960.7812402,74668031.8476671,144639493.3894662
98,34984431.29964509,24.019,174922156.49822545,130.0,0.1218537172160873,232559979.0270753,216980278.74943033,82278607.92591892,256678100.51166594
99,16909141.79482846,8.617,250768840.86124727,121.0,0.1218537172160873,91910688.15824017,162888834.24777153,114433275.97584675,256678100.51166594
100,37899800.57461552,10.593,154708152.09329054,144.0,0.193346153274819,118736550.8626721,200967642.8183253,85517467.79789025,256678100.51166594
101,1311916.173736691,3.73,104953293.89893527,89.0,0.193346153274819,91910688.15824017,104953293.89893527,104953293.89893527,104953293.89893527
102,8163033.969917188,12.749,208157366.23288828,128.0,0.193346153274819,201237486.86604062,120879485.67019723,100456924.26881433,252601031.01904467
103,75799601.14923103,69.787,598233775.2239311,202.0,0.193346153274819,182565449.76427466,166375475.7351277,262359849.93663368,256678100.51166594
104,495612.77674497216,55.998,180169821.19317225,83.0,0.0369628059642053,87242419.5314648,180169821.19317225,144526683.83204845,180169821.19317225
105,3615057.900963326,13.0,23631983.34291026,98.0,0.0369628059642053,87242419.5314648,23631983.34291026,92107733.32619262,23631983.34291026
